IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
91.132.48.17,ae,443,1.07,"Fast, HSDir, Running, Stable, V2Dir, Valid",eclipse25
154.90.54.69,ae,9001,1.54,"Fast, Running, V2Dir, Valid",Hub234
45.86.228.153,ae,443,1.68,"Fast, Running, Stable, V2Dir, Valid",NavierStokes
,,,,,
31.41.33.53,al,443,12.29,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",zgato
78.159.131.66,al,8443,20.19,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GOGRelayAlb12
78.159.131.66,al,6443,25.69,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GOGRelayAlb10
78.159.131.66,al,7443,26.07,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GOGRelayAlb11
78.159.131.25,al,2443,50.81,"Fast, Guard, Running, Stable, V2Dir, Valid",GOGRelayAlb2
78.159.131.12,al,9200,19.79,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
103.167.234.55,al,443,30.52,"Fast, Running, Valid",XMRLife
103.167.235.45,al,443,39.14,"Fast, Running, Stable, V2Dir, Valid",zgato
78.159.131.28,al,443,55.69,"Fast, Running, V2Dir, Valid",GOGRelayNetF1
31.171.154.173,al,9002,9.32,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",BADBOY
103.167.234.55,al,990,25.12,"Fast, Running, Stable, Valid",XMRisDigitGold
78.159.131.65,al,443,25.59,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GOGRelayAlb5
31.171.154.162,al,443,12.57,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",blanket
78.159.131.12,al,9300,21.50,"Fast, Guard, Running, Stable, V2Dir, Valid",prsv
78.159.131.65,al,4443,28.38,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",GOGRelayAlb8
78.159.131.25,al,4443,37.99,"Fast, Guard, Running, Stable, V2Dir, Valid",GOGRelayAlb4
